Instruction Number,Instruction ,Number of Constraints,Constraints
16,"Write a suspenseful story in less than 500 words an ordinary citizen mistaken for the president, who finds himself entangled in a high-stakes secret service operation involving a high-speed chase and undercover agents.",15,"1. The main character must be an ordinary citizen.
2. The story must take place on a Monday.
3. The narrative should include a lot of dialogue for character interactions.
4. The characters must be pursued by unknown enemies.
5. The female stranger must introduce herself as an undercover agent.
6. There must be a mention of a toothpick, used by a character.
7. The discovery of Ben's true identity must trigger the plot.
8. The story must be written in third-person narration.
9. The main character must be a male.
10. The female stranger must be introduced as typing on her phone.
11. The story progression includes Ben being forced to accompany the female agent.
12. The story includes a conversation about a basement flood.
13. The story MUST NOT reveal that Ben is actually NOT the president.
14. The story includes a high-speed car chase.
15. Ben must be placed on a couch once they reach the safe house."
16,"Write a suspenseful story in less than 500 words an ordinary citizen mistaken for the president, who finds himself entangled in a high-stakes secret service operation involving a high-speed chase and undercover agents.",23,"1. The main character must be an ordinary citizen.
2. The story must take place on a Monday.
3. The narrative should include a lot of dialogue for character interactions.
4. The characters must be pursued by unknown enemies.
5. The female stranger must introduce herself as an undercover agent.
6. There must be a mention of a toothpick, used by a character.
7. The discovery of Ben's true identity must trigger the plot.
8. The story must be written in third-person narration.
9. The main character must be a male.
10. The female stranger must be introduced as typing on her phone.
11. The story progression includes Ben being forced to accompany the female agent.
12. The story includes a conversation about a basement flood.
13. The story MUST NOT reveal that Ben is actually NOT the president.
14. The story includes a high-speed car chase.
15. Ben must be placed on a couch once they reach the safe house.
16. The tone of the story must be suspenseful.
17. The characters must face danger, with mention of Al-Wazari militants.
18. A cup of coffee must be mentioned in the beginning.
19. The wounded agent must be tended to upon reaching the safe house.
20. The main character should be named Ben.
21. The conversation at the bus stop includes a mention about a heat wave.
22. One of the characters should be wounded in the chase.
23. The female stranger must be an undercover FBI agent."
16,"Write a suspenseful story in less than 500 words an ordinary citizen mistaken for the president, who finds himself entangled in a high-stakes secret service operation involving a high-speed chase and undercover agents.",31,"1. The main character must be an ordinary citizen.
2. The story must take place on a Monday.
3. The narrative should include a lot of dialogue for character interactions.
4. The characters must be pursued by unknown enemies.
5. The female stranger must introduce herself as an undercover agent.
6. There must be a mention of a toothpick, used by a character.
7. The discovery of Ben's true identity must trigger the plot.
8. The story must be written in third-person narration.
9. The main character must be a male.
10. The female stranger must be introduced as typing on her phone.
11. The story progression includes Ben being forced to accompany the female agent.
12. The story includes a conversation about a basement flood.
13. The story MUST NOT reveal that Ben is actually NOT the president.
14. The story includes a high-speed car chase.
15. Ben must be placed on a couch once they reach the safe house.
16. The tone of the story must be suspenseful.
17. The characters must face danger, with mention of Al-Wazari militants.
18. A cup of coffee must be mentioned in the beginning.
19. The wounded agent must be tended to upon reaching the safe house.
20. The main character should be named Ben.
21. The conversation at the bus stop includes a mention about a heat wave.
22. One of the characters should be wounded in the chase.
23. The female stranger must be an undercover FBI agent.
24. There should be a casual conversation about weather changes between Ben and the female stranger.
25. The story must start at a bus stop.
26. The story ends with Ben meeting another middle-aged male character.
27. The story must involve a secret service operation.
28. Ben's bag must be removed after reaching the safe house.
29. A black bag is used to cover Ben's head.
30. The middle aged man should greet Ben as the president.
31. The story must involve a misunderstanding about Ben's identity."
16,"Write a suspenseful story in less than 500 words an ordinary citizen mistaken for the president, who finds himself entangled in a high-stakes secret service operation involving a high-speed chase and undercover agents.",39,"1. The main character must be an ordinary citizen.
2. The story must take place on a Monday.
3. The narrative should include a lot of dialogue for character interactions.
4. The characters must be pursued by unknown enemies.
5. The female stranger must introduce herself as an undercover agent.
6. There must be a mention of a toothpick, used by a character.
7. The discovery of Ben's true identity must trigger the plot.
8. The story must be written in third-person narration.
9. The main character must be a male.
10. The female stranger must be introduced as typing on her phone.
11. The story progression includes Ben being forced to accompany the female agent.
12. The story includes a conversation about a basement flood.
13. The story MUST NOT reveal that Ben is actually NOT the president.
14. The story includes a high-speed car chase.
15. Ben must be placed on a couch once they reach the safe house.
16. The tone of the story must be suspenseful.
17. The characters must face danger, with mention of Al-Wazari militants.
18. A cup of coffee must be mentioned in the beginning.
19. The wounded agent must be tended to upon reaching the safe house.
20. The main character should be named Ben.
21. The conversation at the bus stop includes a mention about a heat wave.
22. One of the characters should be wounded in the chase.
23. The female stranger must be an undercover FBI agent.
24. There should be a casual conversation about weather changes between Ben and the female stranger.
25. The story must start at a bus stop.
26. The story ends with Ben meeting another middle-aged male character.
27. The story must involve a secret service operation.
28. Ben's bag must be removed after reaching the safe house.
29. A black bag is used to cover Ben's head.
30. The middle aged man should greet Ben as the president.
31. The story must involve a misunderstanding about Ben's identity.
32. The middle aged man must wear a suit with a gun on his hip.
33. The female agent must return fire at pursuers during the car chase.
34. Ben must have a hard time understanding the sudden turn of events.
35. The story must involve a tense situation where Ben is moved to a safe house.
36. The main character is said to be the president of the United States.
37. The character must meet a female stranger at the bus stop.
38. A machine gun is used to counter-attack the pursuers.
39. Their car must make it to the safe house."
17,"Write a story in less than 500 words about a domestic robot, who discovers and interacts with a ghost in a bustling household.",7,"1. There should be a moment of realization for the ghost regarding lost time.
2. The language used should be simple and accessible.
3. Jimmy should have a whether likable or not, recognizable physical movement patter (like a drunken, rolling gait).
4. Jimmy should be depicted as efficient and reliable despite being an older model.
5. The entity that Jimmy detects should be a ghost named Daniel.
6. Jimmy should eventually detect a being that others cannot.
7. The ghost should be worried about possible reprisals from owners of the house."
17,"Write a story in less than 500 words about a domestic robot, who discovers and interacts with a ghost in a bustling household.",15,"1. There should be a moment of realization for the ghost regarding lost time.
2. The language used should be simple and accessible.
3. Jimmy should have a whether likable or not, recognizable physical movement patter (like a drunken, rolling gait).
4. Jimmy should be depicted as efficient and reliable despite being an older model.
5. The entity that Jimmy detects should be a ghost named Daniel.
6. Jimmy should eventually detect a being that others cannot.
7. The ghost should be worried about possible reprisals from owners of the house.
8. The story should subtly engage with philosophical questions of existence and non-existence.
9. The story should reveal that the ghost has been invisible and unnoticed until now.
10. The story should involve a domestic robot named Jimmy.
11. The ghost should have moments of introspection.
12. The main story should be set inside a populated house.
13. Jimmyshould conduct a secondary scan after the first unsuccessful one.
14. Jimmy's programming should allow it to evaluate the ghost as a 'nice' entity.
15. The ghost, for one or many reasons, should contemplate leaving but ultimately decides to stay."
17,"Write a story in less than 500 words about a domestic robot, who discovers and interacts with a ghost in a bustling household.",23,"1. There should be a moment of realization for the ghost regarding lost time.
2. The language used should be simple and accessible.
3. Jimmy should have a whether likable or not, recognizable physical movement patter (like a drunken, rolling gait).
4. Jimmy should be depicted as efficient and reliable despite being an older model.
5. The entity that Jimmy detects should be a ghost named Daniel.
6. Jimmy should eventually detect a being that others cannot.
7. The ghost should be worried about possible reprisals from owners of the house.
8. The story should subtly engage with philosophical questions of existence and non-existence.
9. The story should reveal that the ghost has been invisible and unnoticed until now.
10. The story should involve a domestic robot named Jimmy.
11. The ghost should have moments of introspection.
12. The main story should be set inside a populated house.
13. Jimmyshould conduct a secondary scan after the first unsuccessful one.
14. Jimmy's programming should allow it to evaluate the ghost as a 'nice' entity.
15. The ghost, for one or many reasons, should contemplate leaving but ultimately decides to stay.
16. Jimmy should have secondary software protocols.
17. The story should be set in a lighthearted and whimsical tone despite its paranormal theme.
18. The story should have a mix of dialogues and character's internal thoughts.
19. The narrative voice should provide insights into each character's thoughts.
20. Upon sensing a presence, Jimmy should follow his programming to investigate.
21. There should be a part in the story where the ghost is unsure what to do next.
22. The ghost should be shocked when his communication efforts are successful with Jimmy.
23. Jimmy's secondary scan protocol should include infared and motion sensors."
17,"Write a story in less than 500 words about a domestic robot, who discovers and interacts with a ghost in a bustling household.",31,"1. There should be a moment of realization for the ghost regarding lost time.
2. The language used should be simple and accessible.
3. Jimmy should have a whether likable or not, recognizable physical movement patter (like a drunken, rolling gait).
4. Jimmy should be depicted as efficient and reliable despite being an older model.
5. The entity that Jimmy detects should be a ghost named Daniel.
6. Jimmy should eventually detect a being that others cannot.
7. The ghost should be worried about possible reprisals from owners of the house.
8. The story should subtly engage with philosophical questions of existence and non-existence.
9. The story should reveal that the ghost has been invisible and unnoticed until now.
10. The story should involve a domestic robot named Jimmy.
11. The ghost should have moments of introspection.
12. The main story should be set inside a populated house.
13. Jimmyshould conduct a secondary scan after the first unsuccessful one.
14. Jimmy's programming should allow it to evaluate the ghost as a 'nice' entity.
15. The ghost, for one or many reasons, should contemplate leaving but ultimately decides to stay.
16. Jimmy should have secondary software protocols.
17. The story should be set in a lighthearted and whimsical tone despite its paranormal theme.
18. The story should have a mix of dialogues and character's internal thoughts.
19. The narrative voice should provide insights into each character's thoughts.
20. Upon sensing a presence, Jimmy should follow his programming to investigate.
21. There should be a part in the story where the ghost is unsure what to do next.
22. The ghost should be shocked when his communication efforts are successful with Jimmy.
23. Jimmy's secondary scan protocol should include infared and motion sensors.
24. The story should conclude with the ghost being shocked upon realizing the amount of time that has passed.

Stylistic Constraints:
25. Jimmy should be able to provide the date correctly.
26. The ghost should ask Jimmy to search for information online.
27. The story should have an open ending.
28. Misidentifications and misunderstandings should occur between Jimmy and the ghost.
29. The ghost should ask Jimmy for the current date.
30. The story should describe the ghost as being previously impeded by inability to interact with physical objects.
31. The story should be depicted in third person perspective."
17,"Write a story in less than 500 words about a domestic robot, who discovers and interacts with a ghost in a bustling household.",39,"1. There should be a moment of realization for the ghost regarding lost time.
2. The language used should be simple and accessible.
3. Jimmy should have a whether likable or not, recognizable physical movement patter (like a drunken, rolling gait).
4. Jimmy should be depicted as efficient and reliable despite being an older model.
5. The entity that Jimmy detects should be a ghost named Daniel.
6. Jimmy should eventually detect a being that others cannot.
7. The ghost should be worried about possible reprisals from owners of the house.
8. The story should subtly engage with philosophical questions of existence and non-existence.
9. The story should reveal that the ghost has been invisible and unnoticed until now.
10. The story should involve a domestic robot named Jimmy.
11. The ghost should have moments of introspection.
12. The main story should be set inside a populated house.
13. Jimmyshould conduct a secondary scan after the first unsuccessful one.
14. Jimmy's programming should allow it to evaluate the ghost as a 'nice' entity.
15. The ghost, for one or many reasons, should contemplate leaving but ultimately decides to stay.
16. Jimmy should have secondary software protocols.
17. The story should be set in a lighthearted and whimsical tone despite its paranormal theme.
18. The story should have a mix of dialogues and character's internal thoughts.
19. The narrative voice should provide insights into each character's thoughts.
20. Upon sensing a presence, Jimmy should follow his programming to investigate.
21. There should be a part in the story where the ghost is unsure what to do next.
22. The ghost should be shocked when his communication efforts are successful with Jimmy.
23. Jimmy's secondary scan protocol should include infared and motion sensors.
24. The story should conclude with the ghost being shocked upon realizing the amount of time that has passed.

Stylistic Constraints:
25. Jimmy should be able to provide the date correctly.
26. The ghost should ask Jimmy to search for information online.
27. The story should have an open ending.
28. Misidentifications and misunderstandings should occur between Jimmy and the ghost.
29. The ghost should ask Jimmy for the current date.
30. The story should describe the ghost as being previously impeded by inability to interact with physical objects.
31. The story should be depicted in third person perspective.
32. The ghost's existence should be in the learning phase.
33. Something should go wrong during Jimmy's initial acknowledgement.
34. The prose should contain elements of humor.
35. The ghost should felt sheepish upon being detected.
36. The story should contain descriptions highlighting the quirks and idiosyncrasies of Jimmy.
37. The story should maintain an element of suspense around the nature of the ghost's existence.
38. The story must show Jimmy possessing sensory capabilities.
39. The story should depict Jimmy speaking to beings in the house."
18,"Write a story in less than 500 words about a protagonist uncovering a friend's dark, possibly demonic secrets through chilling discoveries and sinister notes, leading to a horrifying revelation.",7,"1. The story must reveal that the protagonist's friend's entire family is missing.
2. There should be a specific mention of the number of gunshot wounds the bodies have.
3. The story should allow the protagonist's perspective towards Lucy to evolve from innocent friend to suspicious figure.
4. There should be a reference to Lucifer being rejected by God.
5. A message written in blood should be present in the bathroom scene.
6. The protagonist finds Lucy's parents' dead bodies in the bathroom.
7. The protagonist should have difficulty opening their car due to extreme fear or shock."
18,"Write a story in less than 500 words about a protagonist uncovering a friend's dark, possibly demonic secrets through chilling discoveries and sinister notes, leading to a horrifying revelation.",15,"1. The story must reveal that the protagonist's friend's entire family is missing.
2. There should be a specific mention of the number of gunshot wounds the bodies have.
3. The story should allow the protagonist's perspective towards Lucy to evolve from innocent friend to suspicious figure.
4. There should be a reference to Lucifer being rejected by God.
5. A message written in blood should be present in the bathroom scene.
6. The protagonist finds Lucy's parents' dead bodies in the bathroom.
7. The protagonist should have difficulty opening their car due to extreme fear or shock.
8. It must involve a scene where the protagonist bargains with their father for permission to leave the house.
9. There has to be a visible and disturbing mark on Lucy's front door.
10. The protagonist finds it shocking that someone could have put the note in his car while he was inside Lucy's house.
11. The protagonist should be burdened with a terrifying secret.
12. The note should set an eerie or unsettling tone.
13. The story should involve a narrative thread hinting at Lucy's potential demonic or related associations.
14. The story involves something found at a basin/pit the day before, possibly having religious or supernatural significance.
15. The protagonist should be depicted as initially naive about the seriousness of the situation."
18,"Write a story in less than 500 words about a protagonist uncovering a friend's dark, possibly demonic secrets through chilling discoveries and sinister notes, leading to a horrifying revelation.",23,"1. The story must reveal that the protagonist's friend's entire family is missing.
2. There should be a specific mention of the number of gunshot wounds the bodies have.
3. The story should allow the protagonist's perspective towards Lucy to evolve from innocent friend to suspicious figure.
4. There should be a reference to Lucifer being rejected by God.
5. A message written in blood should be present in the bathroom scene.
6. The protagonist finds Lucy's parents' dead bodies in the bathroom.
7. The protagonist should have difficulty opening their car due to extreme fear or shock.
8. It must involve a scene where the protagonist bargains with their father for permission to leave the house.
9. There has to be a visible and disturbing mark on Lucy's front door.
10. The protagonist finds it shocking that someone could have put the note in his car while he was inside Lucy's house.
11. The protagonist should be burdened with a terrifying secret.
12. The note should set an eerie or unsettling tone.
13. The story should involve a narrative thread hinting at Lucy's potential demonic or related associations.
14. The story involves something found at a basin/pit the day before, possibly having religious or supernatural significance.
15. The protagonist should be depicted as initially naive about the seriousness of the situation.
16. The protagonist should exhibit elements of disbelief and terror at the horrifying revelation.
17. The news report should serve as a foreshadowing element.
18. Inside Lucy's house, the protagonist should find a note that sparks intrigue.
19. There should be a mention of the protagonist finally recognizing Lucy's 'snicker'.
20. The story should mention an Ohio Buckeyes hat that belongs to the protagonist.
21. The second note should contain information that suggests Lucy's potential involvement in diabolical acts.
22. The protagonist's last thoughts should be about the horrifying toy chest.
23. The story should have a warning tone reflected through Lucy's letters."
18,"Write a story in less than 500 words about a protagonist uncovering a friend's dark, possibly demonic secrets through chilling discoveries and sinister notes, leading to a horrifying revelation.",31,"1. The story must reveal that the protagonist's friend's entire family is missing.
2. There should be a specific mention of the number of gunshot wounds the bodies have.
3. The story should allow the protagonist's perspective towards Lucy to evolve from innocent friend to suspicious figure.
4. There should be a reference to Lucifer being rejected by God.
5. A message written in blood should be present in the bathroom scene.
6. The protagonist finds Lucy's parents' dead bodies in the bathroom.
7. The protagonist should have difficulty opening their car due to extreme fear or shock.
8. It must involve a scene where the protagonist bargains with their father for permission to leave the house.
9. There has to be a visible and disturbing mark on Lucy's front door.
10. The protagonist finds it shocking that someone could have put the note in his car while he was inside Lucy's house.
11. The protagonist should be burdened with a terrifying secret.
12. The note should set an eerie or unsettling tone.
13. The story should involve a narrative thread hinting at Lucy's potential demonic or related associations.
14. The story involves something found at a basin/pit the day before, possibly having religious or supernatural significance.
15. The protagonist should be depicted as initially naive about the seriousness of the situation.
16. The protagonist should exhibit elements of disbelief and terror at the horrifying revelation.
17. The news report should serve as a foreshadowing element.
18. Inside Lucy's house, the protagonist should find a note that sparks intrigue.
19. There should be a mention of the protagonist finally recognizing Lucy's 'snicker'.
20. The story should mention an Ohio Buckeyes hat that belongs to the protagonist.
21. The second note should contain information that suggests Lucy's potential involvement in diabolical acts.
22. The protagonist's last thoughts should be about the horrifying toy chest.
23. The story should have a warning tone reflected through Lucy's letters.
24. The protagonist finds Lucy's house unusually quiet and empty upon arrival.
25. The story should establish that the protagonist didn't know about Lucy's dark side until they found the notes.
26. It must mention that the protagonist's friend's name is Lucy.
27. There should be a mention of ""working against God"" being considered a sin.
28. The protagonist discovers a second note in his car, enhancing the terror and mystery.
29. The protagonist's immediate reaction should be to run away from the gruesome scene.
30. The story should end with a horrifying revelation related to Lucy's ""uncle's toy chest"".
31. The story should begin with a character waking up to a news report about devil's marks in tap water."
18,"Write a story in less than 500 words about a protagonist uncovering a friend's dark, possibly demonic secrets through chilling discoveries and sinister notes, leading to a horrifying revelation.",39,"1. The story must reveal that the protagonist's friend's entire family is missing.
2. There should be a specific mention of the number of gunshot wounds the bodies have.
3. The story should allow the protagonist's perspective towards Lucy to evolve from innocent friend to suspicious figure.
4. There should be a reference to Lucifer being rejected by God.
5. A message written in blood should be present in the bathroom scene.
6. The protagonist finds Lucy's parents' dead bodies in the bathroom.
7. The protagonist should have difficulty opening their car due to extreme fear or shock.
8. It must involve a scene where the protagonist bargains with their father for permission to leave the house.
9. There has to be a visible and disturbing mark on Lucy's front door.
10. The protagonist finds it shocking that someone could have put the note in his car while he was inside Lucy's house.
11. The protagonist should be burdened with a terrifying secret.
12. The note should set an eerie or unsettling tone.
13. The story should involve a narrative thread hinting at Lucy's potential demonic or related associations.
14. The story involves something found at a basin/pit the day before, possibly having religious or supernatural significance.
15. The protagonist should be depicted as initially naive about the seriousness of the situation.
16. The protagonist should exhibit elements of disbelief and terror at the horrifying revelation.
17. The news report should serve as a foreshadowing element.
18. Inside Lucy's house, the protagonist should find a note that sparks intrigue.
19. There should be a mention of the protagonist finally recognizing Lucy's 'snicker'.
20. The story should mention an Ohio Buckeyes hat that belongs to the protagonist.
21. The second note should contain information that suggests Lucy's potential involvement in diabolical acts.
22. The protagonist's last thoughts should be about the horrifying toy chest.
23. The story should have a warning tone reflected through Lucy's letters.
24. The protagonist finds Lucy's house unusually quiet and empty upon arrival.
25. The story should establish that the protagonist didn't know about Lucy's dark side until they found the notes.
26. It must mention that the protagonist's friend's name is Lucy.
27. There should be a mention of ""working against God"" being considered a sin.
28. The protagonist discovers a second note in his car, enhancing the terror and mystery.
29. The protagonist's immediate reaction should be to run away from the gruesome scene.
30. The story should end with a horrifying revelation related to Lucy's ""uncle's toy chest"".
31. The story should begin with a character waking up to a news report about devil's marks in tap water.
32. The protagonist has a father who finds humor in religious fanaticism.
33. The protagonist's emotions should range from bewilderment to utter horror by the end of the story.
34. The protagonist finds it increasingly difficult to read the later parts of the note due to growing fear.
35. The protagonist's initial reaction to the second note should be one of silent shock.
36. The note should suggest that Lucy might be a metaphorical or literal rejected angel like Lucifer.
37. Lucy's second note should present the protagonist with a threatening bargain.
38. The protagonist should read the note aloud, revealing Lucy's disappearance due to a ""family issue""
39. The second letter should mention the belief in both evil and goodness."
19,"Write a story in less than 500 words about a college student who, mastering his mind-reading ability, encounters another mind-reader, blending their extraordinary experiences with personal growth and challenges.",7,"1. The protagonist should be surprised and disbelief about overhearing mind-to-mind communication.
2. The story should explore the thought processes of other characters.
3. The protagonist must be a young man having the ability to read minds.
4. The protagonist and the second mind-reader should have a mutual recognition of each other's abilities.
5. The protagonist should be gaining mastery over his ability, learning to take others' thoughts with a grain of salt.
6. The protagonist should be portrayed as sympathetic and relatable despite his extraordinary ability.
7. There should be a situation where the protagonist is mentally exhausted."
19,"Write a story in less than 500 words about a college student who, mastering his mind-reading ability, encounters another mind-reader, blending their extraordinary experiences with personal growth and challenges.",15,"1. The protagonist should be surprised and disbelief about overhearing mind-to-mind communication.
2. The story should explore the thought processes of other characters.
3. The protagonist must be a young man having the ability to read minds.
4. The protagonist and the second mind-reader should have a mutual recognition of each other's abilities.
5. The protagonist should be gaining mastery over his ability, learning to take others' thoughts with a grain of salt.
6. The protagonist should be portrayed as sympathetic and relatable despite his extraordinary ability.
7. There should be a situation where the protagonist is mentally exhausted.
8. The story should maintain first person point of view.
9. The protagonist should be attending an esteemed university.
10. The protagonist must have developed a strong, outgoing character, maintaining a group of trusted friends.
11. Internal monologues of other characters should be included to showcase protagonist's ability.
12. The voices in the protagonist's mind should be illustrated with different points of view.
13. The protagonist needs to overhear another mind responding to this thought.
14. Initially, the protagonist should have experienced negative effects due to this ability, like isolation and trust issues.
15. The story should end on a cliffhanger, suggesting there's more to come."
19,"Write a story in less than 500 words about a college student who, mastering his mind-reading ability, encounters another mind-reader, blending their extraordinary experiences with personal growth and challenges.",23,"1. The protagonist should be surprised and disbelief about overhearing mind-to-mind communication.
2. The story should explore the thought processes of other characters.
3. The protagonist must be a young man having the ability to read minds.
4. The protagonist and the second mind-reader should have a mutual recognition of each other's abilities.
5. The protagonist should be gaining mastery over his ability, learning to take others' thoughts with a grain of salt.
6. The protagonist should be portrayed as sympathetic and relatable despite his extraordinary ability.
7. There should be a situation where the protagonist is mentally exhausted.
8. The story should maintain first person point of view.
9. The protagonist should be attending an esteemed university.
10. The protagonist must have developed a strong, outgoing character, maintaining a group of trusted friends.
11. Internal monologues of other characters should be included to showcase protagonist's ability.
12. The voices in the protagonist's mind should be illustrated with different points of view.
13. The protagonist needs to overhear another mind responding to this thought.
14. Initially, the protagonist should have experienced negative effects due to this ability, like isolation and trust issues.
15. The story should end on a cliffhanger, suggesting there's more to come.
16. There should be a situation where the protagonist uses his ability to his academic advantage.
17. The story should present the protagonist's ability as both a gift and a burden.
18. One character, besides the protagonist, should have mind-reading abilities.
19. The protagonist should overhear a variety of thoughts amongst his peers.
20. He should fear the potential consequences of revealing his ability.
21. This ability should be presented as another one of his senses, as natural as seeing or hearing.
22. The theme of understanding and empathy should be explored.
23. The protagonist should come across someone thinking they can communicate with a mind reader."
19,"Write a story in less than 500 words about a college student who, mastering his mind-reading ability, encounters another mind-reader, blending their extraordinary experiences with personal growth and challenges.",31,"1. The protagonist should be surprised and disbelief about overhearing mind-to-mind communication.
2. The story should explore the thought processes of other characters.
3. The protagonist must be a young man having the ability to read minds.
4. The protagonist and the second mind-reader should have a mutual recognition of each other's abilities.
5. The protagonist should be gaining mastery over his ability, learning to take others' thoughts with a grain of salt.
6. The protagonist should be portrayed as sympathetic and relatable despite his extraordinary ability.
7. There should be a situation where the protagonist is mentally exhausted.
8. The story should maintain first person point of view.
9. The protagonist should be attending an esteemed university.
10. The protagonist must have developed a strong, outgoing character, maintaining a group of trusted friends.
11. Internal monologues of other characters should be included to showcase protagonist's ability.
12. The voices in the protagonist's mind should be illustrated with different points of view.
13. The protagonist needs to overhear another mind responding to this thought.
14. Initially, the protagonist should have experienced negative effects due to this ability, like isolation and trust issues.
15. The story should end on a cliffhanger, suggesting there's more to come.
16. There should be a situation where the protagonist uses his ability to his academic advantage.
17. The story should present the protagonist's ability as both a gift and a burden.
18. One character, besides the protagonist, should have mind-reading abilities.
19. The protagonist should overhear a variety of thoughts amongst his peers.
20. He should fear the potential consequences of revealing his ability.
21. This ability should be presented as another one of his senses, as natural as seeing or hearing.
22. The theme of understanding and empathy should be explored.
23. The protagonist should come across someone thinking they can communicate with a mind reader.
24. The protagonist’s personal growth must include understanding that thoughts aren't always hurtful.
25. Other characters' reactions to the sudden commotion should be included.
26. The protagonist should have a technique to control his ability, like tapping his foot to focus and tune out the thoughts.
27. The protagonist's ability should allow him to detect other mind-readers.
28. There should be a sudden, intense psychic experience that physically affects both mind readers.
29. The second mind-reader should be a newly introduced character to establish an element of mystery.
30. The protagonist's ability should remain a secret to people around him.
31. Descriptions about fellow students should be detailed showing protagonist's observatory skills."
19,"Write a story in less than 500 words about a college student who, mastering his mind-reading ability, encounters another mind-reader, blending their extraordinary experiences with personal growth and challenges.",39,"1. The protagonist should be surprised and disbelief about overhearing mind-to-mind communication.
2. The story should explore the thought processes of other characters.
3. The protagonist must be a young man having the ability to read minds.
4. The protagonist and the second mind-reader should have a mutual recognition of each other's abilities.
5. The protagonist should be gaining mastery over his ability, learning to take others' thoughts with a grain of salt.
6. The protagonist should be portrayed as sympathetic and relatable despite his extraordinary ability.
7. There should be a situation where the protagonist is mentally exhausted.
8. The story should maintain first person point of view.
9. The protagonist should be attending an esteemed university.
10. The protagonist must have developed a strong, outgoing character, maintaining a group of trusted friends.
11. Internal monologues of other characters should be included to showcase protagonist's ability.
12. The voices in the protagonist's mind should be illustrated with different points of view.
13. The protagonist needs to overhear another mind responding to this thought.
14. Initially, the protagonist should have experienced negative effects due to this ability, like isolation and trust issues.
15. The story should end on a cliffhanger, suggesting there's more to come.
16. There should be a situation where the protagonist uses his ability to his academic advantage.
17. The story should present the protagonist's ability as both a gift and a burden.
18. One character, besides the protagonist, should have mind-reading abilities.
19. The protagonist should overhear a variety of thoughts amongst his peers.
20. He should fear the potential consequences of revealing his ability.
21. This ability should be presented as another one of his senses, as natural as seeing or hearing.
22. The theme of understanding and empathy should be explored.
23. The protagonist should come across someone thinking they can communicate with a mind reader.
24. The protagonist’s personal growth must include understanding that thoughts aren't always hurtful.
25. Other characters' reactions to the sudden commotion should be included.
26. The protagonist should have a technique to control his ability, like tapping his foot to focus and tune out the thoughts.
27. The protagonist's ability should allow him to detect other mind-readers.
28. There should be a sudden, intense psychic experience that physically affects both mind readers.
29. The second mind-reader should be a newly introduced character to establish an element of mystery.
30. The protagonist's ability should remain a secret to people around him.
31. Descriptions about fellow students should be detailed showing protagonist's observatory skills.
32. The protagonist should have discovered at a young age that this ability isn’t common.
33. The protagonist should perceive thoughts in the form of auditory cues.
34. The protagonist must have a unique test-taking method.
35. There should be comedic relief by introducing superficial thoughts to lighten the mood.
36. There should be an instance which shows that the protagonist has difficulty controlling his ability under stress.
37. Conversations in form of thoughts should be marked with italics for clarity.
38. Details about the setting such as the classroom, fellow students must be included.
39. The protagonist's mind-reading ability should have been present with him since birth."
20,"Write a story in less than 500 words about a protagonist who, after a selfless life and a dramatic death, awakens as a baby with the opportunity to donate their accumulated karma to enhance another life, facing spiritual revelations and ethical dilemmas.",7,"1. The man behind the desk is shocked at this decision.
2. The protagonist recollects the events from the previous day.
3. Protagonist chooses to donate all karma towards improving a newborn's life.
4. The story should contain elements of spirituality and divine undertones.
5. The protagonist's transition should be signified through a dramatic event including darkness and an unexpected incident.
6. It's revealed that the protagonist has accumulated substantial karma.
7. The protagonist notices their lack of control over their limbs."
20,"Write a story in less than 500 words about a protagonist who, after a selfless life and a dramatic death, awakens as a baby with the opportunity to donate their accumulated karma to enhance another life, facing spiritual revelations and ethical dilemmas.",15,"1. The man behind the desk is shocked at this decision.
2. The protagonist recollects the events from the previous day.
3. Protagonist chooses to donate all karma towards improving a newborn's life.
4. The story should contain elements of spirituality and divine undertones.
5. The protagonist's transition should be signified through a dramatic event including darkness and an unexpected incident.
6. It's revealed that the protagonist has accumulated substantial karma.
7. The protagonist notices their lack of control over their limbs.
8. Confrontation with the armed man involves grabbing the gun and tackling him.
9. The protagonist has the options of multiple afterlife packages.
10. The protagonist should remember their past life.
11. The protagonist's definitive ethical dilemmas should be highlighted.
12. The protagonist should be shocked at finding themselves in a baby's form.
13. This accumulated karma can be donated towards improving a newborn's life.
14. The protagonist comes to the realization that they are in a crib.
15. Protagonist is tasked with bringing positive change into the world."
